IDNR,INTERVIEW_MODE,BROWSERNAME,BROWSERVERSION,BROWSEROS,BROWSERMOBILE,S00_SPRACHE,S01_SEX,S02,S02_AGEGRP,S031_AGGLOMERATIONSGROESSENKLASSE,S032_GEMEINDETYPOLOGIE,S033_KANTON,S034_REGIONEN,S035_STADTLAND,S036_GROSSREGIONEN,K00,F01_01,F01_02,F01_03,F02_01,F02_02,F02_03,F02_04,F02_05,F03,F04_01,F04_02,F04_03,F04_04,F04_05,F04_06,A01,A02_01,A02_02,A02_03,A02_04,A03_01,A03_02,A03_03,A03_04,A03_05,A03_06,A03_07,A03_08,A04,A05,A06,A07_01,A07_02,A07_03,A08_01,A08_02,A08_03,A08_04,A08_05,A08_06,A08_07,A08_08,A08_09,A08_09_OTH,A09_01,A09_02,A09_03,A09_04,A09_05,A09_06,A09_07,A10,A10_WNKA,A11_01,A11_02,A11_03,A11_04,A11_05,A11_06,A11_07,A11_08,A11_09,A11_98,A11_99,A12_01,A12_02,A12_03,A12_04,A12_05,A12_06,A12_07,A13_01,A13_02,A13_03,A13_04,A13_05,A13_06,A14_01,A14_02,A14_03,A14_04,A14_05,A14_06,A14_07,A14_98,A14_99,A16_01,A16_02,A16_03,A16_98,A16_99,A16_SEQUENCE,A17,A17_WNKA,A18_01,A18_02,A18_03,A18_98,A18_99,A18_SEQUENCE,A19_01,A19_02,A19_03,A19_98,A19_99,A19_SEQUENCE,A20A_01,A20A_02,A20A_03,A20A_98,A20A_99,A20A_SEQUENCE,A20B_01,A20B_02,A20B_03,A20B_98,A20B_99,A20B_SEQUENCE,A20C_01,A20C_02,A20C_03,A20C_98,A20C_99,A20C_SEQUENCE,A21,A21_TIME,A22_01,A22_02,A22_03,A22_04,A22_05,A22_98,A22_99,A22_TIME,A23_01,A23_02,A23_03,A23_04,A23_05,A23_TIME,A24_01,A24_02,A24_03,A24_04,A24_05,A24_98,A24_99,A24_TOTAL,A24_TIME,A25_01,A25_02,A25_03,A25_04,A25_98,A25_99,A25_SEQUENCE,F05A_01,F05A_02,F05A_03,F05A_04,F05A_05,F05A_06,F05B_01,F05B_02,F06,K01,K02,K03,K04,K06,K07,K07_WNKA,K08,K08_WNKA,INTERVIEWSTART,INTERVIEWENDE,DAUER,ID_Subjekt,Geschlecht,Nationalitaet,Einwohnerstatus,Zivilstand,GEBMONATJAHR,AlterZP,Gebiet,Anzahl_Personen_Haushalt,Haushaltsform
1510573,1,iPhone,16.1,iOS,1,1,2,34,1,4,12,19,1,1,3,2,2,2,2,3,3,3,4,3,5,7,4,7,7,8,7,3,1,2,3,5,8,8,8,7,7,6,9,7,5,6,6,1,98,1,4,4,5,4,5,5,3,4,98,,3,2,3,2,2,2,4,Sicherheit und Hygiene am Bahnhof.,100,1,0,0,0,1,1,0,0,0,0,0,1,3,4,4,4,4,3,5,2,4,3,2,3,1,0,1,1,1,1,0,0,0,1,1,1,0,0,3;1;2,Weil es so gerecht für die meisten wäre.,100,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,1,1,1,0,0,3;1;2,4,96,0,0,1,1,0,0,0,34,2,3,4,5,1,-1,0,0,1,1,0,0,0,CHF 45000.00,54,1,1,1,1,0,0,4;3;2;1,5,5,4,5,5,5,4,2,3,13,2,97,2,1,,98,,99,07.01.2023 13:07,07.01.2023 13:52,2561,50530305,weiblich,Mexiko,Niederlassung C,verheiratet,5.1988,34,Scheibenschachen,2,Paar-/Zwei-Personenhaushalt
1510576,1,iPhone,16,iOS,1,1,1,46,2,4,12,19,1,1,3,1,2,2,2,3,3,3,3,3,7,8,8,5,7,7,7,20,4,4,3,5,9,8,7,7,7,5,8,6,5,5,6,2,2,2,4,4,5,3,4,4,3,4,99,,3,3,3,4,4,3,3,,99,1,0,0,0,0,1,0,0,1,0,0,3,3,3,3,3,3,3,3,2,4,2,3,3,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1;3;2,Wählerwille nicht Budgetausschöpfung,100,1,1,1,0,0,1;3;2,1,1,1,0,0,1;3;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,4,22,0,0,0,1,0,0,0,11,3,2,3,4,4,-1,1,0,0,1,0,0,0,CHF 20000.00,28,0,0,0,0,0,1,,5,5,5,5,5,5,4,1,3,13,1,1,1,2,,#NULL!,,99,07.01.2023 13:18,07.01.2023 13:45,1458,4010702,weiblich,Schweiz,Ortsbürger/in,verheiratet,11.1976,46,Ausserfeld,4,Mehrpersonen-Haushalt mit Kinder
1510577,1,iPhone,16.1,iOS,1,1,2,52,2,4,12,19,1,1,3,1,2,2,1,4,3,3,4,4,5,6,4,4,4,4,5,14,1,1,1,5,6,5,6,6,7,4,8,7,5,5,5,1,2,1,3,4,4,4,4,4,4,3,5,Schüler,2,2,4,4,4,2,4,,98,1,0,0,0,0,1,0,1,0,0,0,3,5,5,3,4,3,3,4,3,5,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,4,27,1,0,0,1,1,0,0,19,4,1,3,5,4,-1,1,0,1,1,0,0,0,CHF 50000.00,23,0,0,1,0,0,0,3,5,4,4,5,5,5,5,2,4,12,1,3,1,1,,98,,99,07.01.2023 13:21,07.01.2023 13:42,1187,100456,weiblich,Schweiz,Niederlassung CH,verheiratet,7.1970,52,Zelgli,4,Mehrpersonen-Haushalt mit Kinder
1510580,1,iPhone,16.2,iOS,1,1,1,23,1,4,12,19,1,1,3,1,2,2,2,4,4,3,3,3,8,6,6,6,6,6,6,23,3,3,2,5,7,5,7,5,6,5,3,7,5,6,6,2,2,1,5,5,4,4,5,5,5,5,99,,3,3,3,3,3,3,3,Mangelnde Sicherheit (Bahnhof Aarau),100,1,0,0,0,1,0,0,1,0,0,0,5,5,5,5,5,5,5,4,99,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,98,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,3,23,1,0,1,0,0,0,0,14,4,3,5,4,3,18,1,0,1,1,0,0,0,CHF 50000.00,26,1,1,1,0,0,0,,5,5,5,5,5,5,5,1,4,8,1,1,2,2,,#NULL!,,99,07.01.2023 13:31,13.02.2023 21:09,1030,110032,männlich,Schweiz,Ortsbürger/in,ledig,6.1999,23,Goldern,4,Mehrpersonen-Haushalt ohne Kinder
1510584,1,,,,2,1,1,65,3,4,12,19,1,1,3,1,2,2,2,3,3,3,3,3,99,9,99,7,8,7,7,23,99,99,99,5,9,9,9,99,4,5,9,9,4,5,5,1,2,2,4,4,4,3,4,4,4,3,99,,3,3,4,4,4,2,3,,97,1,0,0,0,1,1,0,0,0,0,0,5,5,5,4,5,4,4,5,4,5,3,99,3,0,0,1,1,1,1,0,0,0,0,1,0,0,0,2,,99,0,0,1,0,0,3,1,1,1,0,0,3;1;2,1,1,1,0,0,3;2;1,1,1,1,0,0,3;2;1,1,1,1,0,0,3;2;1,5,88,0,1,0,0,1,0,0,35,4,5,4,5,5,-1,0,1,0,0,1,0,0,CHF 50000.00,21,0,0,0,1,0,0,4,5,4,4,5,5,5,4,3,3,13,2,97,1,1,,98,,99,07.01.2023 14:10,08.01.2023 13:14,71612,110320,männlich,Schweiz,Gemeindebürger,verheiratet,7.1957,65,Hungerberg,2,Paar-/Zwei-Personenhaushalt
1510585,1,iPhone,15.3,iOS,1,1,2,74,3,4,12,19,1,1,3,1,1,1,1,4,4,4,4,4,4,4,5,4,6,6,6,25,1,1,2,5,6,6,6,4,4,3,6,6,5,6,6,2,2,2,4,4,4,5,4,4,4,5,99,,3,2,3,2,2,2,3,,98,1,0,0,0,1,0,1,0,0,0,0,3,4,4,3,4,4,4,3,1,5,2,2,4,1,0,0,0,1,1,0,0,0,1,0,1,0,0,3;1,,99,1,0,1,0,0,3;1,0,0,0,0,1,,1,1,1,0,0,3;1;2,0,0,1,0,0,3,1,0,1,0,0,3;1,1,43,1,1,1,0,0,0,0,36,4,2,3,5,2,-1,1,0,1,1,0,0,0,CHF 50000.00,49,0,1,0,1,0,0,4;2,5,4,5,5,2,4,5,1,3,5,1,1,1,1,,98,,99,07.01.2023 14:10,07.01.2023 14:38,1634,102071,weiblich,Schweiz,Niederlassung CH,verwitwet,2.1948,74,Telli,1,Einzelhaushalt
1510595,1,iPhone,15.5,iOS,1,1,1,23,1,4,12,19,1,1,3,1,1,2,2,3,3,3,4,2,2,6,3,2,6,3,3,23,1,1,1,5,3,4,7,3,3,1,6,99,4,5,5,2,2,2,3,4,5,4,4,4,3,4,99,,2,1,5,4,1,4,4,Busrouten aus der Altstadt raus,100,1,0,0,0,0,1,1,0,0,0,0,4,99,4,2,4,2,4,4,1,5,2,99,99,1,1,0,1,1,1,0,0,0,0,0,1,0,0,3,Weil alle Wähler:innen zufrieden sind.,100,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,1,34,1,0,0,1,1,0,0,8,5,4,4,5,5,-1,1,0,0,0,1,0,0,CHF 45000.00,18,0,1,0,0,0,0,2,4,4,4,4,5,5,2,3,2,8,1,2,2,1,,98,Busrouten raus aus der Altstadt!,100,07.01.2023 15:20,07.01.2023 15:34,856,110099,männlich,Schweiz,Niederlassung CH,ledig,6.1999,23,Gönhard,3,Mehrpersonen-Haushalt ohne Kinder
1510597,1,iPhone,16.2,iOS,1,1,1,42,2,4,12,19,1,1,3,1,2,2,1,4,2,2,4,3,5,7,3,2,3,6,5,17,1,1,1,4,3,3,6,2,6,0,9,7,4,98,4,98,2,1,4,5,5,3,5,4,5,4,99,,3,3,4,3,3,2,3,Telli: Mobilität/Verkehrsführung,100,1,0,0,1,0,0,1,0,0,0,0,4,3,3,3,4,3,3,5,1,5,1,5,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,3;1;2,,99,1,1,1,0,0,3;1;2,1,1,1,0,0,1;3;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,1,1,1,0,0,3;1;2,4,62,0,0,0,1,1,0,0,83,2,2,3,5,4,-1,1,0,1,1,0,0,0,CHF 50000.00,49,1,0,0,0,0,0,1,5,4,4,4,5,5,3,1,3,11,1,1,1,1,,98,,99,07.01.2023 15:31,07.01.2023 16:11,1865,100317,männlich,Schweiz,Niederlassung CH,verheiratet,2.1980,42,Telli,4,Mehrpersonen-Haushalt mit Kinder
1510601,1,Safari,16,Mac,2,1,1,67,3,4,12,19,1,1,3,1,2,2,2,4,4,4,4,4,8,10,7,6,4,4,6,12,1,1,1,5,6,4,6,6,4,2,4,6,4,5,6,2,2,1,4,5,4,4,4,4,3,3,99,,2,2,4,2,4,2,2,,99,1,0,0,0,1,0,0,0,1,0,0,4,4,4,2,4,3,4,4,1,5,1,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1;3;2,,98,1,1,1,0,0,1;3;2,0,0,0,0,1,,0,0,0,0,1,,0,0,0,0,1,,1,0,0,0,0,1,1,46,1,0,1,1,1,0,0,19,4,2,3,3,4,-1,0,0,0,0,1,0,0,CHF 40000.00,22,0,0,0,1,0,0,4,5,5,5,5,4,1,5,1,4,13,2,97,1,2,,#NULL!,,99,07.01.2023 16:17,07.01.2023 16:38,1256,111911,männlich,Schweiz,Niederlassung CH,verheiratet,11.1956,66,Schachen,1,Einzelhaushalt
1510602,1,iPhone,16.2,iOS,1,1,2,68,3,4,12,19,1,1,3,1,2,2,2,3,3,3,3,3,7,7,99,99,99,4,3,25,1,1,2,4,3,3,3,3,4,3,6,6,5,4,4,2,2,2,5,5,5,4,4,4,5,5,1,Weiss nicht,2,99,99,4,4,2,4,"Wie Leute teilweise Sachen entsorgen.
Unglaublic.",100,1,0,0,0,0,0,0,1,1,0,0,4,4,4,4,5,5,5,5,99,5,2,99,99,1,0,0,0,1,1,0,0,0,0,0,0,0,1,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,4,33,1,0,0,1,0,0,0,18,4,4,2,2,99,-1,1,1,0,1,0,0,0,CHF 30000.00,34,0,0,0,0,1,0,,5,5,5,5,4,2,3,1,4,7,1,1,2,1,,97,,99,07.01.2023 16:19,07.01.2023 16:40,1245,102763,weiblich,Schweiz,Niederlassung CH,ledig,5.1954,68,Telli,1,Einzelhaushalt
1510607,1,Chrome,108,Windows,2,1,2,69,3,4,12,19,1,1,3,1,1,1,1,4,4,4,4,4,7,7,5,5,4,4,4,24,1,1,2,4,5,5,6,5,2,4,8,8,5,4,3,2,2,2,4,4,4,3,3,3,3,4,99,,99,99,1,1,4,1,4,,97,1,1,0,0,0,0,1,0,0,0,0,3,3,3,3,3,3,3,3,1,4,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,2,38,0,1,0,0,1,0,0,26,2,5,2,2,4,-1,0,1,0,0,1,0,0,CHF 50000.00,27,0,0,0,0,1,0,,2,3,2,4,3,4,3,3,3,5,1,1,1,2,,#NULL!,,99,07.01.2023 16:37,07.01.2023 17:10,1597,106006,weiblich,Schweiz,Niederlassung CH,verheiratet,2.1953,69,Hungerberg,2,Paar-/Zwei-Personenhaushalt
