ID,Gender,Age,Politics,Migration Background,Education,Nationality,Marital Status,Household Form,Children Info,Area,Topics,Votes,Description
18163,1,77.0,3.0,2,4,1,2,2,2,5,"['3', '4', '7']","['01', '04', '14']","You are a 77-year-old man living in Telli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: public space, welfare, public transit and roads."
7880,2,76.0,8.0,2,2,1,1,2,1,3,"['1', '7', '9']","['25', '29', '30']","You are a 76-year-old woman living in Zelgli in Aarau Switzerland, and you consider yourself right-leaning politically. You are vocationally trained. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, public transit and roads, health."
33704,2,69.0,2.0,2,4,1,2,2,2,8,"['3', '4', '7']","['12', '15', '21']","You are a 69-year-old woman living in Hungerberg in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: public space, welfare, public transit and roads."
6253,1,55.0,5.0,1,4,1,2,1,2,9,"['7', '8', '9']","['16', '28', '31', '33']","You are a 55-year-old man living in Goldern in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You have a migration background. You are single. You are live by yourself. Your top urban project preferences are: public transit and roads, sport, health."
106966,2,66.0,2.0,2,4,1,1,2,2,7,"['3', '4', '6']","['02', '03', '04', '14', '15', '16', '19', '21', '31', '32']","You are a 66-year-old woman living in Innenstadt in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. Your top urban project preferences are: public space, welfare, environmental protection."
109006,2,64.0,4.0,2,3,1,2,2,1,8,"['3', '4', '7']","['01', '11', '21']","You are a 64-year-old woman living in Hungerberg in Aarau Switzerland, and you consider yourself left-leaning politically. You are secondary-educated. You are single. You are live in a two-person household. You have children. Your top urban project preferences are: public space, welfare, public transit and roads."
189006,1,67.0,2.0,2,2,1,1,2,1,4,"['1', '4', '6']","['19', '28', '29', '32']","You are a 67-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are vocationally trained. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, welfare, environmental protection."
5711,2,79.0,2.0,2,2,1,2,1,1,3,"['1', '4', '6']","['12', '21', '28']","You are a 79-year-old woman living in Zelgli in Aarau Switzerland, and you consider yourself left-leaning politically. You are vocationally trained. You are single. You are live by yourself. You have children. Your top urban project preferences are: education, welfare, environmental protection."
136832,1,48.0,4.0,1,4,1,1,3,1,3,"['1', '8', '9']","['02', '14', '15', '21', '30']","You are a 48-year-old man living in Zelgli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, sport, health."
50527972,2,66.0,4.0,2,4,1,1,2,1,3,"['5', '6', '7']","['15', '31']","You are a 66-year-old woman living in Zelgli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: culture, environmental protection, public transit and roads."
178122,2,33.0,3.0,2,4,1,1,3,1,3,"['1', '5', '7']","['04', '15', '29']","You are a 33-year-old woman living in Zelgli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, culture, public transit and roads."
26228,1,68.0,4.0,2,4,1,1,2,1,2,"['1', '4', '6']","['14', '17', '21']","You are a 68-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, welfare, environmental protection."
139499,1,81.0,4.0,2,4,1,1,2,1,9,"['1', '3', '6']","['05', '21', '28']","You are a 81-year-old man living in Goldern in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, public space, environmental protection."
181111,1,35.0,6.0,2,4,1,1,3,1,10,"['7', '8', '9']",['23'],"You are a 35-year-old man living in Binzenhof in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: public transit and roads, sport, health."
41162,1,65.0,0.0,2,4,1,2,2,2,2,"['3', '4', '6']","['12', '22', '32']","You are a 65-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: public space, welfare, environmental protection."
145657,2,49.0,4.0,1,4,1,1,3,1,3,"['1', '6', '9']","['20', '21', '29']","You are a 49-year-old woman living in Zelgli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, environmental protection, health."
11949,1,69.0,3.0,2,4,1,1,2,1,4,"['3', '6', '9']","['09', '11', '21', '26']","You are a 69-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: public space, environmental protection, health."
24312,1,61.0,5.0,2,4,1,2,1,2,4,"['2', '3', '8']","['04', '22', '25']","You are a 61-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You are single. You are live by yourself. Your top urban project preferences are: urban greenery, public space, sport."
155108,2,33.0,2.0,2,4,1,2,2,2,7,"['2', '3', '5']","['01', '02', '04', '14', '21', '25', '31', '33']","You are a 33-year-old woman living in Innenstadt in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: urban greenery, public space, culture."
50526236,1,37.0,7.0,2,4,1,1,3,1,13,"['1', '3', '4']","['11', '32', '33']","You are a 37-year-old man living in Torfeld Süd in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, public space, welfare."
38945,2,66.0,3.0,2,4,1,1,2,1,2,"['2', '3', '7']","['12', '21', '32']","You are a 66-year-old woman living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: urban greenery, public space, public transit and roads."
199374,2,41.0,2.0,2,4,1,1,3,1,5,"['1', '2', '3']","['04', '13', '15']","You are a 41-year-old woman living in Telli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, urban greenery, public space."
50542440,1,20.0,3.0,1,4,2,2,2,2,7,"['1', '2', '7']","['12', '21', '32']","You are a 20-year-old man living in Innenstadt in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are a foreign resident here. You have a migration background. You are single. You are live in a two-person household. Your top urban project preferences are: education, urban greenery, public transit and roads."
118356,2,65.0,0.0,1,4,1,1,2,1,4,"['1', '4', '6']","['02', '04', '14', '15', '32']","You are a 65-year-old woman living in Scheibenschachen in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You have a migration background. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, welfare, environmental protection."
142186,2,41.0,3.0,2,4,1,1,2,2,16,"['2', '4', '7']","['02', '11', '19', '21', '24', '25', '28', '29', '30', '31']","You are a 41-year-old woman living in Damm in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. Your top urban project preferences are: urban greenery, welfare, public transit and roads."
174587,2,51.0,3.0,2,4,1,1,3,1,2,"['2', '3', '6']","['04', '24', '29']","You are a 51-year-old woman living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: urban greenery, public space, environmental protection."
139970,1,53.0,4.0,1,4,1,1,3,1,5,"['1', '4', '8']","['01', '03', '09', '11']","You are a 53-year-old man living in Telli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, welfare, sport."
53081194,2,28.0,3.0,2,4,1,2,2,2,2,"['4', '5', '6']","['12', '15', '16', '21', '30']","You are a 28-year-old woman living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: welfare, culture, environmental protection."
40262,1,65.0,2.0,2,4,1,1,2,1,4,"['3', '6', '7']","['01', '25', '31']","You are a 65-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: public space, environmental protection, public transit and roads."
92034,1,54.0,2.0,2,4,1,1,2,1,5,"['1', '3', '5']","['02', '14', '21', '31', '33']","You are a 54-year-old man living in Telli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, public space, culture."
36704,2,32.0,5.0,2,4,1,1,3,1,13,"['1', '4', '6']","['15', '21', '33']","You are a 32-year-old woman living in Torfeld Süd in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, welfare, environmental protection."
40553,1,29.0,2.0,2,4,1,2,2,2,2,"['2', '5', '8']","['03', '04', '13', '17', '20', '21', '22', '28', '30']","You are a 29-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: urban greenery, culture, sport."
140754,1,41.0,4.0,2,4,1,2,2,2,7,"['1', '2', '7']","['04', '15', '32']","You are a 41-year-old man living in Innenstadt in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: education, urban greenery, public transit and roads."
4012191,2,40.0,2.0,2,4,1,2,1,2,13,"['1', '6', '9']","['02', '11', '15', '16', '17', '20', '25']","You are a 40-year-old woman living in Torfeld Süd in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live by yourself. Your top urban project preferences are: education, environmental protection, health."
50534320,1,36.0,6.0,1,4,1,2,3,1,9,"['6', '8', '9']","['04', '13', '23', '25', '32']","You are a 36-year-old man living in Goldern in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You have a migration background. You are single. You are live in a big household with children. You have children. Your top urban project preferences are: environmental protection, sport, health."
42142,2,60.0,3.0,2,4,1,1,2,1,4,"['3', '4', '6']","['21', '24', '25', '29', '32']","You are a 60-year-old woman living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: public space, welfare, environmental protection."
50534255,1,37.0,2.0,2,4,1,1,3,1,4,"['1', '4', '5']","['15', '25', '32']","You are a 37-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, welfare, culture."
50523514,2,38.0,3.0,2,4,1,2,2,2,2,"['1', '6', '8']","['04', '16', '17', '28']","You are a 38-year-old woman living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: education, environmental protection, sport."
134621,1,52.0,5.0,1,4,1,1,3,1,3,"['3', '4', '8']","['04', '09', '12', '21', '24', '25']","You are a 52-year-old man living in Zelgli in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: public space, welfare, sport."
183804,2,64.0,3.0,2,2,1,2,2,2,5,"['2', '3', '7']","['02', '04']","You are a 64-year-old woman living in Telli in Aarau Switzerland, and you consider yourself left-leaning politically. You are vocationally trained. You are single. You are live in a two-person household. Your top urban project preferences are: urban greenery, public space, public transit and roads."
146686,1,57.0,5.0,2,4,1,1,2,2,4,"['2', '3', '6']","['04', '06', '29']","You are a 57-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You are married. You are live in a two-person household. Your top urban project preferences are: urban greenery, public space, environmental protection."
25123,2,36.0,0.0,2,2,1,2,2,2,10,"['4', '5', '6']","['05', '11', '12', '15', '21', '23', '31']","You are a 36-year-old woman living in Binzenhof in Aarau Switzerland, and you consider yourself very left politically. You are vocationally trained. You are single. You are live in a two-person household. Your top urban project preferences are: welfare, culture, environmental protection."
20535,2,67.0,6.0,1,4,1,1,2,2,8,"['1', '7', '9']","['08', '12', '24']","You are a 67-year-old woman living in Hungerberg in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a two-person household. Your top urban project preferences are: education, public transit and roads, health."
110450,1,44.0,1.0,2,3,1,2,1,2,17,"['2', '3', '9']","['04', '13', '33']","You are a 44-year-old man living in Torfeld Nord in Aarau Switzerland, and you consider yourself very left politically. You are secondary-educated. You are single. You are live by yourself. Your top urban project preferences are: urban greenery, public space, health."
165104,1,42.0,1.0,2,4,1,1,3,1,5,"['1', '3', '6']","['04', '13', '15', '21']","You are a 42-year-old man living in Telli in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, public space, environmental protection."
147579,1,29.0,0.0,2,4,1,2,2,2,2,"['2', '6', '7']","['15', '21', '22']","You are a 29-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads."
53084798,1,40.0,8.0,1,4,2,1,1,2,7,"['1', '2', '8']","['21', '22']","You are a 40-year-old man living in Innenstadt in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You are a foreign resident here. You have a migration background. You are married. You are live by yourself. Your top urban project preferences are: education, urban greenery, sport."
191321,1,32.0,2.0,2,4,1,2,2,2,1,"['2', '4', '6']","['08', '12', '21']","You are a 32-year-old man living in Altstadt in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: urban greenery, welfare, environmental protection."
183355,2,46.0,6.0,1,4,2,2,2,2,11,"['4', '5', '7']","['01', '03', '09', '10', '11', '13', '16', '17', '21', '27']","You are a 46-year-old woman living in Rössligut in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You are a foreign resident here. You have a migration background. You are single. You are live in a two-person household. Your top urban project preferences are: welfare, culture, public transit and roads."
180084,2,33.0,1.0,2,4,1,2,3,1,4,"['1', '4', '6']","['18', '24', '25', '26', '29']","You are a 33-year-old woman living in Scheibenschachen in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are single. You are live in a big household with children. You have children. Your top urban project preferences are: education, welfare, environmental protection."
50526574,2,65.0,3.0,2,4,1,1,2,1,15,"['1', '4', '5']","['01', '02', '03', '04', '14', '15', '21', '24', '29', '32']","You are a 65-year-old woman living in Siebenmatten in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, welfare, culture."
162469,2,45.0,3.0,2,4,1,1,3,1,5,"['1', '3', '6']","['01', '31', '32']","You are a 45-year-old woman living in Telli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, public space, environmental protection."
29795,1,45.0,7.0,1,4,1,1,3,1,3,"['1', '6', '8']","['01', '04', '09']","You are a 45-year-old man living in Zelgli in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, environmental protection, sport."
199025,1,38.0,5.0,1,4,2,1,3,1,2,"['1', '8', '9']","['02', '03', '05', '23', '33']","You are a 38-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You are a foreign resident here. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, sport, health."
23915,1,36.0,2.0,2,4,1,1,3,1,3,"['1', '4', '5']","['23', '30', '31']","You are a 36-year-old man living in Zelgli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, welfare, culture."
53083529,1,27.0,2.0,2,4,1,2,1,2,2,"['1', '6', '7']","['08', '11', '24']","You are a 27-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live by yourself. Your top urban project preferences are: education, environmental protection, public transit and roads."
2293,1,66.0,3.0,1,4,1,1,2,1,4,"['1', '2', '6']","['07', '14', '31']","You are a 66-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, urban greenery, environmental protection."
34081,2,61.0,3.0,2,2,1,2,1,1,9,"['4', '6', '9']","['04', '14', '15', '25', '29']","You are a 61-year-old woman living in Goldern in Aarau Switzerland, and you consider yourself left-leaning politically. You are vocationally trained. You are single. You are live by yourself. You have children. Your top urban project preferences are: welfare, environmental protection, health."
35507,1,58.0,6.0,1,4,1,1,3,1,6,"['2', '6', '7']","['02', '03', '07', '11', '13', '22', '31', '33']","You are a 58-year-old man living in Ausserfeld in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads."
50540107,1,37.0,2.0,2,4,1,1,2,1,4,"['1', '2', '4']","['04', '15', '21', '24', '32']","You are a 37-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, urban greenery, welfare."
172119,1,37.0,4.0,2,4,1,2,2,2,6,"['5', '7', '8']","['03', '20', '21']","You are a 37-year-old man living in Ausserfeld in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: culture, public transit and roads, sport."
207686,2,71.0,1.0,2,3,1,2,1,1,3,"['1', '2', '6']","['04', '14', '28']","You are a 71-year-old woman living in Zelgli in Aarau Switzerland, and you consider yourself very left politically. You are secondary-educated. You are single. You are live by yourself. You have children. Your top urban project preferences are: education, urban greenery, environmental protection."
18020,2,40.0,1.0,2,4,1,2,3,1,5,"['1', '2', '6']","['01', '15', '31', '32']","You are a 40-year-old woman living in Telli in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are single. You are live in a big household with children. You have children. Your top urban project preferences are: education, urban greenery, environmental protection."
130989,2,42.0,3.0,2,4,1,1,3,1,9,"['2', '8', '9']","['11', '13', '15', '21', '29', '32']","You are a 42-year-old woman living in Goldern in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: urban greenery, sport, health."
7078,1,63.0,5.0,2,4,1,1,2,1,3,"['3', '4', '7']","['14', '21', '22', '24', '29', '30']","You are a 63-year-old man living in Zelgli in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: public space, welfare, public transit and roads."
141130,1,58.0,2.0,2,4,1,2,1,1,2,"['2', '6', '7']","['04', '10', '14', '24', '28']","You are a 58-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live by yourself. You have children. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads."
53080946,1,33.0,1.0,2,4,1,2,2,2,5,"['2', '5', '6']","['02', '14', '15', '32']","You are a 33-year-old man living in Telli in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: urban greenery, culture, environmental protection."
50522506,1,32.0,1.0,2,4,1,1,2,2,3,"['1', '4', '6']","['10', '21', '22']","You are a 32-year-old man living in Zelgli in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are married. You are live in a two-person household. Your top urban project preferences are: education, welfare, environmental protection."
10574,1,87.0,8.0,2,2,1,1,2,2,5,"['4', '7', '9']","['01', '04', '31']","You are a 87-year-old man living in Telli in Aarau Switzerland, and you consider yourself right-leaning politically. You are vocationally trained. You are married. You are live in a two-person household. Your top urban project preferences are: welfare, public transit and roads, health."
50541698,1,37.0,3.0,2,4,1,2,3,1,3,"['1', '4', '6']","['12', '15', '21', '23', '24', '25', '29', '33']","You are a 37-year-old man living in Zelgli in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a big household with children. You have children. Your top urban project preferences are: education, welfare, environmental protection."
9625,2,72.0,6.0,2,2,1,2,2,1,16,"['1', '4', '7']","['08', '17', '20']","You are a 72-year-old woman living in Damm in Aarau Switzerland, and you consider yourself right-leaning politically. You are vocationally trained. You are single. You are live in a two-person household. You have children. Your top urban project preferences are: education, welfare, public transit and roads."
4016679,2,52.0,3.0,1,4,1,1,3,1,6,"['1', '3', '6']","['03', '21', '28', '30']","You are a 52-year-old woman living in Ausserfeld in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, public space, environmental protection."
152319,2,31.0,1.0,2,4,1,1,3,1,6,"['1', '2', '6']","['03', '04', '13', '15', '18', '30', '31', '32']","You are a 31-year-old woman living in Ausserfeld in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, urban greenery, environmental protection."
155281,2,38.0,3.0,2,4,1,1,3,1,4,"['1', '2', '3']","['01', '04', '13', '32']","You are a 38-year-old woman living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, urban greenery, public space."
207417,1,65.0,4.0,2,4,1,1,2,1,9,"['3', '7', '8']","['04', '15', '28']","You are a 65-year-old man living in Goldern in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: public space, public transit and roads, sport."
83007,2,56.0,5.0,1,4,1,1,3,1,2,"['1', '5', '9']","['08', '11', '15']","You are a 56-year-old woman living in Gönhard in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, culture, health."
158921,2,42.0,5.0,2,4,1,1,3,1,3,"['1', '3', '9']","['11', '13', '23']","You are a 42-year-old woman living in Zelgli in Aarau Switzerland, and you consider yourself centre politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, public space, health."
167193,1,48.0,7.0,1,4,1,1,3,1,2,"['1', '5', '8']","['02', '03', '08', '22']","You are a 48-year-old man living in Gönhard in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You have a migration background. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, culture, sport."
162956,2,72.0,3.0,2,4,1,2,1,1,18,"['3', '6', '7']","['07', '10', '13', '15', '21', '25', '32']","You are a 72-year-old woman living in Brunnbach in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live by yourself. You have children. Your top urban project preferences are: public space, environmental protection, public transit and roads."
195631,1,37.0,3.0,2,4,1,2,2,2,4,"['2', '3', '4']","['22', '26', '32']","You are a 37-year-old man living in Scheibenschachen in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You are single. You are live in a two-person household. Your top urban project preferences are: urban greenery, public space, welfare."
183096,2,36.0,6.0,2,4,1,1,3,1,15,"['1', '3', '9']","['11', '13', '31']","You are a 36-year-old woman living in Siebenmatten in Aarau Switzerland, and you consider yourself right-leaning politically. You are highly educated. You are married. You are live in a big household with children. You have children. Your top urban project preferences are: education, public space, health."
99771,2,60.0,4.0,2,2,1,2,2,2,5,"['1', '6', '7']","['02', '27', '32']","You are a 60-year-old woman living in Telli in Aarau Switzerland, and you consider yourself left-leaning politically. You are vocationally trained. You are single. You are live in a two-person household. Your top urban project preferences are: education, environmental protection, public transit and roads."
208244,2,28.0,2.0,1,4,1,2,1,2,2,"['1', '2', '6']","['04', '22', '23', '24', '25', '28', '29']","You are a 28-year-old woman living in Gönhard in Aarau Switzerland, and you consider yourself left-leaning politically. You are highly educated. You have a migration background. You are single. You are live by yourself. Your top urban project preferences are: education, urban greenery, environmental protection."
16231,1,65.0,6.0,1,3,2,1,2,1,11,"['7', '8', '9']","['10', '12', '20', '21', '22']","You are a 65-year-old man living in Rössligut in Aarau Switzerland, and you consider yourself right-leaning politically. You are secondary-educated. You are a foreign resident here. You have a migration background. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: public transit and roads, sport, health."
183320,2,36.0,1.0,2,4,1,1,2,1,6,"['1', '4', '6']","['04', '10', '12', '13', '17', '18']","You are a 36-year-old woman living in Ausserfeld in Aarau Switzerland, and you consider yourself very left politically. You are highly educated. You are married. You are live in a two-person household. You have children. Your top urban project preferences are: education, welfare, environmental protection."
