ID_Subjekt,Gender,Age,Politics,Top Preferences,Education,Birthplace Info,Children Info,Important Beneficiaries,Description,Nationalitaet,Zivilstand,Gebiet,Haushaltsform,votes
7880,woman,76,right-leaning,"education, public transit and roads, health",vocationally trained,No migration background,Has children,"families with children, children","You are a 76-year-old woman living in Zelgli in Aarau, and you are right-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: education, public transit and roads, health. For you, issues related to families with children, children are very important.",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,"24, 25, 30"
20734,man,73,moderate,"public space, environmental protection, public transit and roads",highly educated,No migration background,Has children,"families with children, children","You are a 73-year-old man living in Gönhard in Aarau, and you are moderate politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: public space, environmental protection, public transit and roads. For you, issues related to families with children, children are very important. You are highly educated.",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 08, 17, 32"
201125,woman,30,left-leaning,"urban greenery, welfare, environmental protection",highly educated,No migration background,Has children,"families with children, poor people","You are a 30-year-old woman living in Innenstadt in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: urban greenery, welfare, environmental protection. For you, issues related to families with children, poor people are very important. You are highly educated.",Schweiz,verheiratet,Innenstadt,Mehrpersonen-Haushalt mit Kinder,"15, 16, 25, 28, 32"
33704,woman,69,left-leaning,"public space, welfare, public transit and roads",highly educated,No migration background,No children,poor people,"You are a 69-year-old woman living in Hungerberg in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: public space, welfare, public transit and roads. For you, issues related to poor people are very important. You are highly educated.",Schweiz,verwitwet,Hungerberg,Paar-/Zwei-Personenhaushalt,"09, 12, 15"
2487,man,76,right-leaning,"urban greenery, environmental protection, public transit and roads",highly educated,No migration background,Has children,people with disabilities,"You are a 76-year-old man living in Goldern in Aarau, and you are right-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads. For you, issues related to people with disabilities are very important. You are highly educated.",Schweiz,verheiratet,Goldern,Paar-/Zwei-Personenhaushalt,"04, 19, 32"
6253,man,55,moderate,"public transit and roads, sport, health",highly educated,Has migration background,No children,None,"You are a 55-year-old man living in Goldern in Aarau, and you are moderate politically. You live in a single-person household. You have a migration background. Your top urban project preferences are: public transit and roads, sport, health. You are highly educated.",Schweiz,ledig,Goldern,Einzelhaushalt,"28, 31, 33"
109006,woman,64,left-leaning,"public space, welfare, public transit and roads",secondary-educated,No migration background,Has children,"families with children, children, youth, elderly, poor people","You are a 64-year-old woman living in Hungerberg in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: public space, welfare, public transit and roads. For you, issues related to families with children, children, youth, elderly, poor people are very important.",Schweiz,geschieden,Hungerberg,Paar-/Zwei-Personenhaushalt,"12, 21, 31"
5711,woman,79,left-leaning,"education, welfare, environmental protection",vocationally trained,No migration background,Has children,"families with children, children, youth, poor people","You are a 79-year-old woman living in Zelgli in Aarau, and you are left-leaning politically. You live in a single-person household. You have children. Your top urban project preferences are: education, welfare, environmental protection. For you, issues related to families with children, children, youth, poor people are very important.",Schweiz,verwitwet,Zelgli,Einzelhaushalt,"03, 12, 17, 28"
106635,man,50,right-leaning,"education, culture, environmental protection",secondary-educated,No migration background,Has children,youth,"You are a 50-year-old man living in Zelgli in Aarau, and you are right-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: education, culture, environmental protection. For you, issues related to youth are very important.",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt mit Kinder,"04, 21, 22, 30, 32"
50527972,woman,66,left-leaning,"culture, environmental protection, public transit and roads",highly educated,No migration background,Has children,children,"You are a 66-year-old woman living in Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: culture, environmental protection, public transit and roads. For you, issues related to children are very important. You are highly educated.",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,"15, 24, 31"
40896,woman,28,very right,"education, welfare, health",vocationally trained,Has migration background,No children,"people with disabilities, elderly","You are a 28-year-old woman living in Telli in Aarau, and you are very right politically. You live in a multi-person household. You are originally from Spain. You have a migration background. Your top urban project preferences are: education, welfare, health. For you, issues related to people with disabilities, elderly are very important.",Spanien,ledig,Telli,Mehrpersonen-Haushalt ohne Kinder,"04, 10, 27"
26228,man,68,left-leaning,"education, welfare, environmental protection",highly educated,No migration background,Has children,"families with children, elderly, poor people","You are a 68-year-old man living in Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: education, welfare, environmental protection. For you, issues related to families with children, elderly, poor people are very important. You are highly educated.",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"03, 14, 21"
139499,man,81,left-leaning,"education, public space, environmental protection",highly educated,No migration background,Has children,families with children,"You are a 81-year-old man living in Goldern in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: education, public space, environmental protection. For you, issues related to families with children are very important. You are highly educated.",Schweiz,verheiratet,Goldern,Paar-/Zwei-Personenhaushalt,"21, 28"
181111,man,35,right-leaning,"public transit and roads, sport, health",highly educated,No migration background,Has children,"families with children, children, youth","You are a 35-year-old man living in Binzenhof in Aarau, and you are right-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: public transit and roads, sport, health. For you, issues related to families with children, children, youth are very important. You are highly educated.",Schweiz,verheiratet,Binzenhof,Mehrpersonen-Haushalt mit Kinder,"09, 21, 23"
196387,man,52,very right,"education, welfare, public transit and roads",highly educated,No migration background,Has children,None,"You are a 52-year-old man living in Innenstadt in Aarau, and you are very right politically. You live in a multi-person household. You have children. You are originally from Germany. Your top urban project preferences are: education, welfare, public transit and roads. You are highly educated.",Deutschland,verheiratet,Innenstadt,Mehrpersonen-Haushalt ohne Kinder,"12, 15, 33"
41162,man,65,very left,"public space, welfare, environmental protection",highly educated,No migration background,No children,"families with children, children, youth, poor people","You are a 65-year-old man living in Gönhard in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: public space, welfare, environmental protection. For you, issues related to families with children, children, youth, poor people are very important. You are highly educated.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"12, 14, 32"
20600,woman,65,right-leaning,"education, public space, sport",highly educated,No migration background,Has children,None,"You are a 65-year-old woman living in Zelgli in Aarau, and you are right-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: education, public space, sport. You are highly educated.",Schweiz,geschieden,Zelgli,Paar-/Zwei-Personenhaushalt,"08, 15, 21"
24312,man,61,moderate,"urban greenery, public space, sport",highly educated,No migration background,No children,None,"You are a 61-year-old man living in Scheibenschachen in Aarau, and you are moderate politically. You live in a single-person household. Your top urban project preferences are: urban greenery, public space, sport. You are highly educated.",Schweiz,ledig,Scheibenschachen,Einzelhaushalt,"04, 22, 25"
155108,woman,33,left-leaning,"urban greenery, public space, culture",highly educated,No migration background,No children,"families with children, children, youth, poor people","You are a 33-year-old woman living in Innenstadt in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, public space, culture. For you, issues related to families with children, children, youth, poor people are very important. You are highly educated.",Schweiz,ledig,Innenstadt,Paar-/Zwei-Personenhaushalt,"24, 25, 31, 33"
119193,man,47,moderate,"education, public transit and roads, health",vocationally trained,No migration background,Has children,None,"You are a 47-year-old man living in Scheibenschachen in Aarau, and you are moderate politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: education, public transit and roads, health.",Schweiz,verheiratet,Scheibenschachen,Mehrpersonen-Haushalt mit Kinder,"11, 21, 25"
38945,woman,66,left-leaning,"urban greenery, public space, public transit and roads",highly educated,No migration background,Has children,None,"You are a 66-year-old woman living in Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: urban greenery, public space, public transit and roads. You are highly educated.",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"12, 15, 21"
118356,woman,65,very left,"education, welfare, environmental protection",highly educated,Has migration background,Has children,"families with children, children, youth, adults, people with disabilities, elderly, poor people","You are a 65-year-old woman living in Scheibenschachen in Aarau, and you are very left politically. You live in a couple/two-person household. You have children. You have a migration background. Your top urban project preferences are: education, welfare, environmental protection. For you, issues related to families with children, children, youth, adults, people with disabilities, elderly, poor people are very important. You are highly educated.",Schweiz,verheiratet,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"02, 04, 14, 15, 32"
138051,woman,17,very left,"welfare, environmental protection, public transit and roads",basically educated,No migration background,No children,"families with children, children, youth, people with disabilities, elderly, poor people","You are a 17-year-old woman living in Gönhard in Aarau, and you are very left politically. You live in a multi-person households with children. Your top urban project preferences are: welfare, environmental protection, public transit and roads. For you, issues related to families with children, children, youth, people with disabilities, elderly, poor people are very important.",Schweiz,ledig,Gönhard,Mehrpersonen-Haushalt mit Kinder,"03, 12, 15, 20"
174587,woman,51,left-leaning,"urban greenery, public space, environmental protection",highly educated,No migration background,Has children,None,"You are a 51-year-old woman living in Gönhard in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: urban greenery, public space, environmental protection. You are highly educated.",Schweiz,verheiratet,Gönhard,Mehrpersonen-Haushalt mit Kinder,"04, 24, 29"
139970,man,53,left-leaning,"education, welfare, sport",highly educated,Has migration background,Has children,None,"You are a 53-year-old man living in Telli in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have children. You have a migration background. Your top urban project preferences are: education, welfare, sport. You are highly educated.",Schweiz,verheiratet,Telli,Mehrpersonen-Haushalt mit Kinder,"01, 03, 11"
29160,man,77,left-leaning,"education, urban greenery, public space",highly educated,Has migration background,Has children,None,"You are a 77-year-old man living in Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. You have a migration background. Your top urban project preferences are: education, urban greenery, public space. You are highly educated.",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,17
53081194,woman,28,left-leaning,"welfare, culture, environmental protection",highly educated,No migration background,No children,None,"You are a 28-year-old woman living in Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: welfare, culture, environmental protection. You are highly educated.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 12, 15, 16, 21, 30"
92034,man,54,left-leaning,"education, public space, culture",highly educated,No migration background,Has children,youth,"You are a 54-year-old man living in Telli in Aarau, and you are left-leaning politically. You live in a multi-person household. You have children. Your top urban project preferences are: education, public space, culture. For you, issues related to youth are very important. You are highly educated.",Schweiz,verheiratet,Telli,Mehrpersonen-Haushalt ohne Kinder,"02, 11, 14, 21, 27, 31"
53083883,man,39,very right,"urban greenery, public space, sport",vocationally trained,No migration background,Has children,"families with children, children, youth, adults, people with disabilities, elderly, poor people","You are a 39-year-old man living in Scheibenschachen in Aarau, and you are very right politically. You live in a multi-person households with children. You have children. You are originally from Greece. Your top urban project preferences are: urban greenery, public space, sport. For you, issues related to families with children, children, youth, adults, people with disabilities, elderly, poor people are very important.",Griechenland,verheiratet,Scheibenschachen,Mehrpersonen-Haushalt mit Kinder,"03, 09, 15"
40553,man,29,left-leaning,"urban greenery, culture, sport",highly educated,No migration background,No children,adults,"You are a 29-year-old man living in Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, culture, sport. For you, issues related to adults are very important. You are highly educated.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 13, 16, 17, 20, 21, 22, 28, 30"
90060,woman,52,very left,"education, welfare, environmental protection",secondary-educated,Has migration background,Has children,"families with children, children, youth, people with disabilities, elderly, poor people","You are a 52-year-old woman living in Goldern in Aarau, and you are very left politically. You live in a multi-person households with children. You have children. You have a migration background. Your top urban project preferences are: education, welfare, environmental protection. For you, issues related to families with children, children, youth, people with disabilities, elderly, poor people are very important.",Schweiz,verheiratet,Goldern,Mehrpersonen-Haushalt mit Kinder,"03, 13, 31, 33"
4036,man,42,left-leaning,"urban greenery, public space, public transit and roads",highly educated,No migration background,Has children,"children, youth","You are a 42-year-old man living in Zelgli in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: urban greenery, public space, public transit and roads. For you, issues related to children, youth are very important. You are highly educated.",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt mit Kinder,"15, 21, 23"
4012191,woman,40,left-leaning,"education, environmental protection, health",highly educated,No migration background,No children,poor people,"You are a 40-year-old woman living in Torfeld Süd in Aarau, and you are left-leaning politically. You live in a single-person household. Your top urban project preferences are: education, environmental protection, health. For you, issues related to poor people are very important. You are highly educated.",Schweiz,ledig,Torfeld Süd,Einzelhaushalt,"02, 11, 15, 16, 20, 25, 30"
169667,man,19,left-leaning,"education, welfare, public transit and roads",vocationally trained,Has migration background,No children,None,"You are a 19-year-old man living in Goldern in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have a migration background. Your top urban project preferences are: education, welfare, public transit and roads.",Schweiz,ledig,Goldern,Mehrpersonen-Haushalt mit Kinder,"22, 23, 24, 30, 31, 33"
42142,woman,60,left-leaning,"public space, welfare, environmental protection",highly educated,No migration background,Has children,"families with children, children, people with disabilities","You are a 60-year-old woman living in Scheibenschachen in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: public space, welfare, environmental protection. For you, issues related to families with children, children, people with disabilities are very important. You are highly educated.",Schweiz,verheiratet,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"15, 21, 24"
50542893,woman,30,left-leaning,"education, culture, environmental protection",highly educated,No migration background,No children,None,"You are a 30-year-old woman living in Goldern in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You are originally from Netherlands. Your top urban project preferences are: education, culture, environmental protection. You are highly educated.",Niederlande,verheiratet,Goldern,Paar-/Zwei-Personenhaushalt,"08, 21, 24"
144605,man,45,moderate,"urban greenery, sport, health",highly educated,No migration background,No children,None,"You are a 45-year-old man living in Telli in Aarau, and you are moderate politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, sport, health. You are highly educated.",Schweiz,verheiratet,Telli,Paar-/Zwei-Personenhaushalt,"04, 11, 24"
183804,woman,64,left-leaning,"urban greenery, public space, public transit and roads",vocationally trained,No migration background,No children,"adults, elderly","You are a 64-year-old woman living in Telli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, public space, public transit and roads. For you, issues related to adults, elderly are very important.",Schweiz,ledig,Telli,Paar-/Zwei-Personenhaushalt,"02, 04, 16, 29"
146686,man,57,moderate,"urban greenery, public space, environmental protection",highly educated,No migration background,No children,"adults, people with disabilities","You are a 57-year-old man living in Scheibenschachen in Aarau, and you are moderate politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, public space, environmental protection. For you, issues related to adults, people with disabilities are very important. You are highly educated.",Schweiz,verheiratet,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"24, 29"
25123,woman,36,very left,"welfare, culture, environmental protection",vocationally trained,No migration background,No children,"families with children, children, youth, people with disabilities, poor people","You are a 36-year-old woman living in Binzenhof in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: welfare, culture, environmental protection. For you, issues related to families with children, children, youth, people with disabilities, poor people are very important.",Schweiz,ledig,Binzenhof,Paar-/Zwei-Personenhaushalt,"05, 11, 12, 15, 21, 31"
172269,man,72,left-leaning,"education, culture, health",secondary-educated,No migration background,Has children,None,"You are a 72-year-old man living in Zelgli in Aarau, and you are left-leaning politically. You live in a multi-person household. You have children. Your top urban project preferences are: education, culture, health.",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt ohne Kinder,"15, 22, 28"
10418,man,75,left-leaning,"urban greenery, public space, environmental protection",highly educated,No migration background,Has children,"people with disabilities, poor people","You are a 75-year-old man living in Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: urban greenery, public space, environmental protection. For you, issues related to people with disabilities, poor people are very important. You are highly educated.",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"03, 05, 19, 32"
4103673,woman,72,moderate,"urban greenery, environmental protection, public transit and roads",vocationally trained,No migration background,No children,"children, youth, adults, people with disabilities, elderly, poor people","You are a 72-year-old woman living in Telli in Aarau, and you are moderate politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads. For you, issues related to children, youth, adults, people with disabilities, elderly, poor people are very important.",Schweiz,verheiratet,Telli,Paar-/Zwei-Personenhaushalt,"02, 12, 21, 24"
110450,man,44,very left,"urban greenery, public space, health",secondary-educated,No migration background,No children,"families with children, children, youth, adults, people with disabilities, elderly, poor people","You are a 44-year-old man living in Torfeld Nord in Aarau, and you are very left politically. You live in a single-person household. Your top urban project preferences are: urban greenery, public space, health. For you, issues related to families with children, children, youth, adults, people with disabilities, elderly, poor people are very important.",Schweiz,ledig,Torfeld Nord,Einzelhaushalt,"04, 07, 13"
50540569,woman,25,left-leaning,"urban greenery, welfare, environmental protection",highly educated,No migration background,No children,"children, youth, poor people","You are a 25-year-old woman living in Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, welfare, environmental protection. For you, issues related to children, youth, poor people are very important. You are highly educated.",Schweiz,ledig,Zelgli,Paar-/Zwei-Personenhaushalt,"10, 11, 12, 15, 18, 21, 23, 24, 25, 29"
143905,man,47,moderate,"urban greenery, welfare, health",basically educated,No migration background,No children,"people with disabilities, poor people","You are a 47-year-old man living in Innenstadt in Aarau, and you are moderate politically. You live in a single-person household. Your top urban project preferences are: urban greenery, welfare, health. For you, issues related to people with disabilities, poor people are very important.",Schweiz,ledig,Innenstadt,Einzelhaushalt,"08, 17"
165104,man,42,very left,"education, public space, environmental protection",highly educated,No migration background,Has children,"children, youth","You are a 42-year-old man living in Telli in Aarau, and you are very left politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: education, public space, environmental protection. For you, issues related to children, youth are very important. You are highly educated.",Schweiz,verheiratet,Telli,Mehrpersonen-Haushalt mit Kinder,"04, 13, 15"
19047,man,70,left-leaning,"public space, public transit and roads, health",highly educated,Has migration background,Has children,"children, youth, people with disabilities","You are a 70-year-old man living in Goldern in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. You have a migration background. Your top urban project preferences are: public space, public transit and roads, health. For you, issues related to children, youth, people with disabilities are very important. You are highly educated.",Schweiz,verheiratet,Goldern,Paar-/Zwei-Personenhaushalt,"05, 08, 13, 17"
147579,man,29,very left,"urban greenery, environmental protection, public transit and roads",highly educated,No migration background,No children,None,"You are a 29-year-old man living in Gönhard in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: urban greenery, environmental protection, public transit and roads. You are highly educated.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"15, 21, 22"
50534229,man,34,left-leaning,"education, culture, sport",vocationally trained,No migration background,No children,None,"You are a 34-year-old man living in Telli in Aarau, and you are left-leaning politically. You live in a multi-person household. Your top urban project preferences are: education, culture, sport.",Schweiz,ledig,Telli,Mehrpersonen-Haushalt ohne Kinder,"21, 22, 24, 30"
53084798,man,40,right-leaning,"education, urban greenery, sport",highly educated,No migration background,No children,None,"You are a 40-year-old man living in Innenstadt in Aarau, and you are right-leaning politically. You live in a single-person household. You are originally from Germany. Your top urban project preferences are: education, urban greenery, sport. You are highly educated.",Deutschland,verheiratet,Innenstadt,Einzelhaushalt,"04, 06, 21"
50526574,woman,65,left-leaning,"education, welfare, culture",highly educated,No migration background,Has children,None,"You are a 65-year-old woman living in Siebenmatten in Aarau, and you are left-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: education, welfare, culture. You are highly educated.",Schweiz,verheiratet,Siebenmatten,Paar-/Zwei-Personenhaushalt,"02, 03, 04, 11, 14, 15, 21, 24, 25, 32"
188286,woman,44,right-leaning,"urban greenery, public space, culture",highly educated,No migration background,No children,None,"You are a 44-year-old woman living in Rössligut in Aarau, and you are right-leaning politically. You live in a single-person household. Your top urban project preferences are: urban greenery, public space, culture. You are highly educated.",Schweiz,ledig,Rössligut,Einzelhaushalt,"12, 14, 15, 29"
162469,woman,45,left-leaning,"education, public space, environmental protection",highly educated,No migration background,Has children,"families with children, children, youth, poor people","You are a 45-year-old woman living in Telli in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: education, public space, environmental protection. For you, issues related to families with children, children, youth, poor people are very important. You are highly educated.",Schweiz,verheiratet,Telli,Mehrpersonen-Haushalt mit Kinder,"01, 31"
23915,man,36,left-leaning,"education, welfare, culture",highly educated,No migration background,Has children,None,"You are a 36-year-old man living in Zelgli in Aarau, and you are left-leaning politically. You live in a multi-person households with children. You have children. Your top urban project preferences are: education, welfare, culture. You are highly educated.",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt mit Kinder,23
4016857,man,75,right-leaning,"public space, public transit and roads, health",highly educated,No migration background,Has children,None,"You are a 75-year-old man living in Quellhölzli in Aarau, and you are right-leaning politically. You live in a couple/two-person household. You have children. Your top urban project preferences are: public space, public transit and roads, health. You are highly educated.",Schweiz,geschieden,Quellhölzli,Paar-/Zwei-Personenhaushalt,"17, 27, 32"
