ID_Subjekt,Gender,Age,Politics,Top Preferences,Education,Birthplace Info,Children Info,Important Beneficiaries,Description,Nationalitaet,Zivilstand,Gebiet,Haushaltsform,votes
5266,man,70,very left,"Public space, Welfare, Environmental protection",University degree,No migration background,Has children,None,"You are a 70-year-old man living Gönhard in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Welfare, Environmental protection. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"14, 15, 32"
8294,man,60,very right,"Education, Public transit and roads, Sport",University degree,No migration background,Has children,Youth,"You are a 60-year-old man living Zelgli in Aarau, and you are very right politically. You live in a multi-person household with no kids. Your top urban project preferences are: Education, Public transit and roads, Sport. For you, issues related to Youth are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt ohne Kinder,"04, 20, 30"
153065,woman,15,very left,"Urban greenery, Environmental protection, Public transit and roads",Primary school,No migration background,Unknown children status,None,"You are a 15-year-old woman living Telli in Aarau, and you are very left politically. You live in a multi-person households with children. Your top urban project preferences are: Urban greenery, Environmental protection, Public transit and roads. You have attained Primary school as your highest level of education.",Schweiz,ledig,Telli,Mehrpersonen-Haushalt mit Kinder,"10, 15, 21, 28"
4101868,man,63,right-leaning,"Public space, Environmental protection, Public transit and roads",University degree,No migration background,Has children,None,"You are a 63-year-old man living Ausserfeld in Aarau, and you are right-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Environmental protection, Public transit and roads. You have attained University degree as your highest level of education. Has children",Schweiz,geschieden,Ausserfeld,Paar-/Zwei-Personenhaushalt,"15, 17, 30"
7573,man,71,left-leaning,"Public space, Welfare, Environmental protection",Vocational training,No migration background,Has children,"Children, Adults, People with disabilities, Elderly, Poor people","You are a 71-year-old man living Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Welfare, Environmental protection. For you, issues related to Children, Adults, People with disabilities, Elderly, Poor people are very important. You have attained Vocational training as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"15, 21"
105031,woman,60,left-leaning,"Education, Public transit and roads, Health",Gymnasium or teacher training,No migration background,Unknown children status,None,"You are a 60-year-old woman living Telli in Aarau, and you are left-leaning politically. You live in a single-person household. Your top urban project preferences are: Education, Public transit and roads, Health. You have attained Gymnasium or teacher training as your highest level of education.",Schweiz,ledig,Telli,Einzelhaushalt,"24, 27, 32"
18163,man,77,left-leaning,"Public space, Welfare, Public transit and roads",Advanced vocational training,No migration background,Unknown children status,None,"You are a 77-year-old man living Telli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Welfare, Public transit and roads. You have attained Advanced vocational training as your highest level of education.",Schweiz,ledig,Telli,Paar-/Zwei-Personenhaushalt,"01, 04, 19, 21"
7880,woman,76,right-leaning,"Education, Public transit and roads, Health",Vocational training,No migration background,Has children,"Families with children, Children","You are a 76-year-old woman living Zelgli in Aarau, and you are right-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Public transit and roads, Health. For you, issues related to Families with children, Children are very important. You have attained Vocational training as your highest level of education. Has children",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,"24, 25, 30"
20734,man,73,moderate,"Public space, Environmental protection, Public transit and roads",University degree,No migration background,Has children,"Families with children, Children","You are a 73-year-old man living Gönhard in Aarau, and you are moderate politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Environmental protection, Public transit and roads. For you, issues related to Families with children, Children are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 08, 17, 32"
201125,woman,30,left-leaning,"Urban greenery, Welfare, Environmental protection",University degree,No migration background,Has children,"Families with children, Poor people","You are a 30-year-old woman living Innenstadt in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Urban greenery, Welfare, Environmental protection. For you, issues related to Families with children, Poor people are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Innenstadt,Mehrpersonen-Haushalt mit Kinder,"15, 16, 25, 28, 32"
33704,woman,69,left-leaning,"Public space, Welfare, Public transit and roads",Graduate of applied sciences college or teacher training,No migration background,Unknown children status,Poor people,"You are a 69-year-old woman living Hungerberg in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Welfare, Public transit and roads. For you, issues related to Poor people are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education.",Schweiz,verwitwet,Hungerberg,Paar-/Zwei-Personenhaushalt,"09, 12, 15"
2487,man,76,right-leaning,"Urban greenery, Environmental protection, Public transit and roads",University degree,No migration background,Has children,People with disabilities,"You are a 76-year-old man living Goldern in Aarau, and you are right-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Environmental protection, Public transit and roads. For you, issues related to People with disabilities are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Goldern,Paar-/Zwei-Personenhaushalt,"04, 19, 32"
6253,man,55,moderate,"Public transit and roads, Sport, Health",Advanced vocational training,Has migration background,Unknown children status,None,"You are a 55-year-old man living Goldern in Aarau, and you are moderate politically. You live in a single-person household. Your top urban project preferences are: Public transit and roads, Sport, Health. You have attained Advanced vocational training as your highest level of education. Has migration background",Schweiz,ledig,Goldern,Einzelhaushalt,"28, 31, 33"
109006,woman,64,left-leaning,"Public space, Welfare, Public transit and roads",Gymnasium or teacher training,No migration background,Has children,"Families with children, Children, Youth, Elderly, Poor people","You are a 64-year-old woman living Hungerberg in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Welfare, Public transit and roads. For you, issues related to Families with children, Children, Youth, Elderly, Poor people are very important. You have attained Gymnasium or teacher training as your highest level of education. Has children",Schweiz,geschieden,Hungerberg,Paar-/Zwei-Personenhaushalt,"12, 21, 31"
5711,woman,79,left-leaning,"Education, Welfare, Environmental protection",Vocational training,No migration background,Has children,"Families with children, Children, Youth, Poor people","You are a 79-year-old woman living Zelgli in Aarau, and you are left-leaning politically. You live in a single-person household. Your top urban project preferences are: Education, Welfare, Environmental protection. For you, issues related to Families with children, Children, Youth, Poor people are very important. You have attained Vocational training as your highest level of education. Has children",Schweiz,verwitwet,Zelgli,Einzelhaushalt,"03, 12, 17, 28"
106635,man,50,right-leaning,"Education, Culture, Environmental protection",Commercial diploma,No migration background,Has children,Youth,"You are a 50-year-old man living Zelgli in Aarau, and you are right-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Culture, Environmental protection. For you, issues related to Youth are very important. You have attained Commercial diploma as your highest level of education. Has children",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt mit Kinder,"04, 21, 22, 30, 32"
50527972,woman,66,left-leaning,"Culture, Environmental protection, Public transit and roads",University degree,No migration background,Has children,Children,"You are a 66-year-old woman living Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Culture, Environmental protection, Public transit and roads. For you, issues related to Children are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,"15, 24, 31"
40896,woman,28,very right,"Education, Welfare, Health",Vocational training,Has migration background,Unknown children status,"People with disabilities, Elderly","You are a 28-year-old woman living Telli in Aarau, and you are very right politically. Your nationality is Spain and you live in a multi-person household with no kids. Your top urban project preferences are: Education, Welfare, Health. For you, issues related to People with disabilities, Elderly are very important. You have attained Vocational training as your highest level of education. Has migration background",Spanien,ledig,Telli,Mehrpersonen-Haushalt ohne Kinder,"04, 10, 27"
26228,man,68,left-leaning,"Education, Welfare, Environmental protection",University degree,No migration background,Has children,"Families with children, Elderly, Poor people","You are a 68-year-old man living Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Welfare, Environmental protection. For you, issues related to Families with children, Elderly, Poor people are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"03, 14, 21"
139499,man,81,left-leaning,"Education, Public space, Environmental protection",University degree,No migration background,Has children,Families with children,"You are a 81-year-old man living Goldern in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Public space, Environmental protection. For you, issues related to Families with children are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Goldern,Paar-/Zwei-Personenhaushalt,"21, 28"
181111,man,35,right-leaning,"Public transit and roads, Sport, Health",University degree,No migration background,Has children,"Families with children, Children, Youth","You are a 35-year-old man living Binzenhof in Aarau, and you are right-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Public transit and roads, Sport, Health. For you, issues related to Families with children, Children, Youth are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Binzenhof,Mehrpersonen-Haushalt mit Kinder,"09, 21, 23"
196387,man,52,very right,"Education, Welfare, Public transit and roads",Graduate of technical or business school,No migration background,Has children,None,"You are a 52-year-old man living Innenstadt in Aarau, and you are very right politically. Your nationality is Germany and you live in a multi-person household with no kids. Your top urban project preferences are: Education, Welfare, Public transit and roads. You have attained Graduate of technical or business school as your highest level of education. Has children",Deutschland,verheiratet,Innenstadt,Mehrpersonen-Haushalt ohne Kinder,"12, 15, 33"
41162,man,65,very left,"Public space, Welfare, Environmental protection",Graduate of technical or business school,No migration background,Unknown children status,"Families with children, Children, Youth, Poor people","You are a 65-year-old man living Gönhard in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Welfare, Environmental protection. For you, issues related to Families with children, Children, Youth, Poor people are very important. You have attained Graduate of technical or business school as your highest level of education.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"12, 14, 32"
20600,woman,65,right-leaning,"Education, Public space, Sport",Graduate of technical or business school,No migration background,Has children,None,"You are a 65-year-old woman living Zelgli in Aarau, and you are right-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Public space, Sport. You have attained Graduate of technical or business school as your highest level of education. Has children",Schweiz,geschieden,Zelgli,Paar-/Zwei-Personenhaushalt,"08, 15, 21"
24312,man,61,moderate,"Urban greenery, Public space, Sport",Graduate of technical or business school,No migration background,Unknown children status,None,"You are a 61-year-old man living Scheibenschachen in Aarau, and you are moderate politically. You live in a single-person household. Your top urban project preferences are: Urban greenery, Public space, Sport. You have attained Graduate of technical or business school as your highest level of education.",Schweiz,ledig,Scheibenschachen,Einzelhaushalt,"04, 22, 25"
155108,woman,33,left-leaning,"Urban greenery, Public space, Culture",University degree,No migration background,Unknown children status,"Families with children, Children, Youth, Poor people","You are a 33-year-old woman living Innenstadt in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Public space, Culture. For you, issues related to Families with children, Children, Youth, Poor people are very important. You have attained University degree as your highest level of education.",Schweiz,ledig,Innenstadt,Paar-/Zwei-Personenhaushalt,"24, 25, 31, 33"
119193,man,47,moderate,"Education, Public transit and roads, Health",Vocational training,No migration background,Has children,None,"You are a 47-year-old man living Scheibenschachen in Aarau, and you are moderate politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Public transit and roads, Health. You have attained Vocational training as your highest level of education. Has children",Schweiz,verheiratet,Scheibenschachen,Mehrpersonen-Haushalt mit Kinder,"11, 21, 25"
38945,woman,66,left-leaning,"Urban greenery, Public space, Public transit and roads",University degree,No migration background,Has children,None,"You are a 66-year-old woman living Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Public space, Public transit and roads. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"12, 15, 21"
118356,woman,65,very left,"Education, Welfare, Environmental protection",Graduate of technical or business school,Has migration background,Has children,"Families with children, Children, Youth, Adults, People with disabilities, Elderly, Poor people","You are a 65-year-old woman living Scheibenschachen in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Welfare, Environmental protection. For you, issues related to Families with children, Children, Youth, Adults, People with disabilities, Elderly, Poor people are very important. You have attained Graduate of technical or business school as your highest level of education. Has migration background Has children",Schweiz,verheiratet,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"02, 04, 14, 15, 32"
138051,woman,17,very left,"Welfare, Environmental protection, Public transit and roads",High school,No migration background,Unknown children status,"Families with children, Children, Youth, People with disabilities, Elderly, Poor people","You are a 17-year-old woman living Gönhard in Aarau, and you are very left politically. You live in a multi-person households with children. Your top urban project preferences are: Welfare, Environmental protection, Public transit and roads. For you, issues related to Families with children, Children, Youth, People with disabilities, Elderly, Poor people are very important. You have attained High school as your highest level of education.",Schweiz,ledig,Gönhard,Mehrpersonen-Haushalt mit Kinder,"03, 12, 15, 20"
174587,woman,51,left-leaning,"Urban greenery, Public space, Environmental protection",University degree,No migration background,Has children,None,"You are a 51-year-old woman living Gönhard in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Urban greenery, Public space, Environmental protection. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Mehrpersonen-Haushalt mit Kinder,"04, 24, 29"
139970,man,53,left-leaning,"Education, Welfare, Sport",Advanced vocational training,Has migration background,Has children,None,"You are a 53-year-old man living Telli in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Welfare, Sport. You have attained Advanced vocational training as your highest level of education. Has migration background Has children",Schweiz,verheiratet,Telli,Mehrpersonen-Haushalt mit Kinder,"01, 03, 11"
29160,man,77,left-leaning,"Education, Urban greenery, Public space",University degree,Has migration background,Has children,None,"You are a 77-year-old man living Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Urban greenery, Public space. You have attained University degree as your highest level of education. Has migration background Has children",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,17
53081194,woman,28,left-leaning,"Welfare, Culture, Environmental protection",University degree,No migration background,Unknown children status,None,"You are a 28-year-old woman living Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Welfare, Culture, Environmental protection. You have attained University degree as your highest level of education.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 12, 15, 16, 21, 30"
92034,man,54,left-leaning,"Education, Public space, Culture",University degree,No migration background,Has children,Youth,"You are a 54-year-old man living Telli in Aarau, and you are left-leaning politically. You live in a multi-person household with no kids. Your top urban project preferences are: Education, Public space, Culture. For you, issues related to Youth are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Telli,Mehrpersonen-Haushalt ohne Kinder,"02, 11, 14, 21, 27, 31"
53083883,man,39,very right,"Urban greenery, Public space, Sport",Vocational training,No migration background,Has children,"Families with children, Children, Youth, Adults, People with disabilities, Elderly, Poor people","You are a 39-year-old man living Scheibenschachen in Aarau, and you are very right politically. Your nationality is Greece and you live in a multi-person households with children. Your top urban project preferences are: Urban greenery, Public space, Sport. For you, issues related to Families with children, Children, Youth, Adults, People with disabilities, Elderly, Poor people are very important. You have attained Vocational training as your highest level of education. Has children",Griechenland,verheiratet,Scheibenschachen,Mehrpersonen-Haushalt mit Kinder,"03, 09, 15"
40553,man,29,left-leaning,"Urban greenery, Culture, Sport",Graduate of applied sciences college or teacher training,No migration background,Unknown children status,Adults,"You are a 29-year-old man living Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Culture, Sport. For you, issues related to Adults are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 13, 16, 17, 20, 21, 22, 28, 30"
90060,woman,52,very left,"Education, Welfare, Environmental protection",Gymnasium or teacher training,Has migration background,Has children,"Families with children, Children, Youth, People with disabilities, Elderly, Poor people","You are a 52-year-old woman living Goldern in Aarau, and you are very left politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Welfare, Environmental protection. For you, issues related to Families with children, Children, Youth, People with disabilities, Elderly, Poor people are very important. You have attained Gymnasium or teacher training as your highest level of education. Has migration background Has children",Schweiz,verheiratet,Goldern,Mehrpersonen-Haushalt mit Kinder,"03, 13, 31, 33"
4036,man,42,left-leaning,"Urban greenery, Public space, Public transit and roads",University degree,No migration background,Has children,"Children, Youth","You are a 42-year-old man living Zelgli in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Urban greenery, Public space, Public transit and roads. For you, issues related to Children, Youth are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt mit Kinder,"15, 21, 23"
4012191,woman,40,left-leaning,"Education, Environmental protection, Health",University degree,No migration background,Unknown children status,Poor people,"You are a 40-year-old woman living Torfeld Süd in Aarau, and you are left-leaning politically. You live in a single-person household. Your top urban project preferences are: Education, Environmental protection, Health. For you, issues related to Poor people are very important. You have attained University degree as your highest level of education.",Schweiz,ledig,Torfeld Süd,Einzelhaushalt,"02, 11, 15, 16, 20, 25, 30"
169667,man,19,left-leaning,"Education, Welfare, Public transit and roads",Vocational training,Has migration background,Unknown children status,None,"You are a 19-year-old man living Goldern in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Welfare, Public transit and roads. You have attained Vocational training as your highest level of education. Has migration background",Schweiz,ledig,Goldern,Mehrpersonen-Haushalt mit Kinder,"22, 23, 24, 30, 31, 33"
42142,woman,60,left-leaning,"Public space, Welfare, Environmental protection",Advanced vocational training,No migration background,Has children,"Families with children, Children, People with disabilities","You are a 60-year-old woman living Scheibenschachen in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Welfare, Environmental protection. For you, issues related to Families with children, Children, People with disabilities are very important. You have attained Advanced vocational training as your highest level of education. Has children",Schweiz,verheiratet,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"15, 21, 24"
50542893,woman,30,left-leaning,"Education, Culture, Environmental protection",Graduate of applied sciences college or teacher training,No migration background,Unknown children status,None,"You are a 30-year-old woman living Goldern in Aarau, and you are left-leaning politically. Your nationality is Netherlands and you live in a couple/two-person household. Your top urban project preferences are: Education, Culture, Environmental protection. You have attained Graduate of applied sciences college or teacher training as your highest level of education.",Niederlande,verheiratet,Goldern,Paar-/Zwei-Personenhaushalt,"08, 21, 24"
144605,man,45,moderate,"Urban greenery, Sport, Health",University degree,No migration background,Unknown children status,None,"You are a 45-year-old man living Telli in Aarau, and you are moderate politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Sport, Health. You have attained University degree as your highest level of education.",Schweiz,verheiratet,Telli,Paar-/Zwei-Personenhaushalt,"04, 11, 24"
183804,woman,64,left-leaning,"Urban greenery, Public space, Public transit and roads",Vocational training,No migration background,Unknown children status,"Adults, Elderly","You are a 64-year-old woman living Telli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Public space, Public transit and roads. For you, issues related to Adults, Elderly are very important. You have attained Vocational training as your highest level of education.",Schweiz,ledig,Telli,Paar-/Zwei-Personenhaushalt,"02, 04, 16, 29"
146686,man,57,moderate,"Urban greenery, Public space, Environmental protection",Graduate of technical or business school,No migration background,Unknown children status,"Adults, People with disabilities","You are a 57-year-old man living Scheibenschachen in Aarau, and you are moderate politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Public space, Environmental protection. For you, issues related to Adults, People with disabilities are very important. You have attained Graduate of technical or business school as your highest level of education.",Schweiz,verheiratet,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"24, 29"
25123,woman,36,very left,"Welfare, Culture, Environmental protection",Vocational training,No migration background,Unknown children status,"Families with children, Children, Youth, People with disabilities, Poor people","You are a 36-year-old woman living Binzenhof in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: Welfare, Culture, Environmental protection. For you, issues related to Families with children, Children, Youth, People with disabilities, Poor people are very important. You have attained Vocational training as your highest level of education.",Schweiz,ledig,Binzenhof,Paar-/Zwei-Personenhaushalt,"05, 11, 12, 15, 21, 31"
172269,man,72,left-leaning,"Education, Culture, Health",Gymnasium or teacher training,No migration background,Has children,None,"You are a 72-year-old man living Zelgli in Aarau, and you are left-leaning politically. You live in a multi-person household with no kids. Your top urban project preferences are: Education, Culture, Health. You have attained Gymnasium or teacher training as your highest level of education. Has children",Schweiz,verheiratet,Zelgli,Mehrpersonen-Haushalt ohne Kinder,"15, 22, 28"
10418,man,75,left-leaning,"Urban greenery, Public space, Environmental protection",University degree,No migration background,Has children,"People with disabilities, Poor people","You are a 75-year-old man living Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Public space, Environmental protection. For you, issues related to People with disabilities, Poor people are very important. You have attained University degree as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Paar-/Zwei-Personenhaushalt,"03, 05, 19, 32"
4103673,woman,72,moderate,"Urban greenery, Environmental protection, Public transit and roads",Vocational training,No migration background,Unknown children status,"Children, Youth, Adults, People with disabilities, Elderly, Poor people","You are a 72-year-old woman living Telli in Aarau, and you are moderate politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Environmental protection, Public transit and roads. For you, issues related to Children, Youth, Adults, People with disabilities, Elderly, Poor people are very important. You have attained Vocational training as your highest level of education.",Schweiz,verheiratet,Telli,Paar-/Zwei-Personenhaushalt,"02, 12, 21, 24"
110450,man,44,very left,"Urban greenery, Public space, Health",Advanced secondary diploma,No migration background,Unknown children status,"Families with children, Children, Youth, Adults, People with disabilities, Elderly, Poor people","You are a 44-year-old man living Torfeld Nord in Aarau, and you are very left politically. You live in a single-person household. Your top urban project preferences are: Urban greenery, Public space, Health. For you, issues related to Families with children, Children, Youth, Adults, People with disabilities, Elderly, Poor people are very important. You have attained Advanced secondary diploma as your highest level of education.",Schweiz,ledig,Torfeld Nord,Einzelhaushalt,"04, 07, 13"
50540569,woman,25,left-leaning,"Urban greenery, Welfare, Environmental protection",Graduate of applied sciences college or teacher training,No migration background,Unknown children status,"Children, Youth, Poor people","You are a 25-year-old woman living Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Welfare, Environmental protection. For you, issues related to Children, Youth, Poor people are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education.",Schweiz,ledig,Zelgli,Paar-/Zwei-Personenhaushalt,"10, 11, 12, 15, 18, 21, 23, 24, 25, 29"
143905,man,47,moderate,"Urban greenery, Welfare, Health",High school,No migration background,Unknown children status,"People with disabilities, Poor people","You are a 47-year-old man living Innenstadt in Aarau, and you are moderate politically. You live in a single-person household. Your top urban project preferences are: Urban greenery, Welfare, Health. For you, issues related to People with disabilities, Poor people are very important. You have attained High school as your highest level of education.",Schweiz,ledig,Innenstadt,Einzelhaushalt,"08, 17"
